numberr,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Info,messages
821,221.8965395,10.0.2.15,52.29.173.150,MQTT,210,36665,1883,Publish Message (id=26) [metaverse/building2/room6/humidity],"{""unit"": ""F"", ""long"": 51, ""description"": ""Room Temperature"", ""lat"": 99, ""range"": [6, 48], ""type"": ""temperature""}"
822,221.9137408,52.29.173.150,10.0.2.15,MQTT,62,1883,36665,Publish Received (id=26),
823,221.9744534,127.0.0.1,127.0.0.1,MQTT,91,51249,1883,Publish Message (id=25) [factory/building2],
824,221.9749376,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Ack (id=25),
825,222.0415005,127.0.0.1,127.0.0.1,MQTT,221,57679,1883,Publish Message (id=25) [factory/building2/section2/deposit],"{""unit"": ""K"", ""long"": 51, ""description"": ""Room Temperature"", ""lat"": 45, ""range"": [1, 43], ""type"": ""temperature""}"
826,222.0474881,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Received (id=25),
827,222.1626657,127.0.0.1,127.0.0.1,MQTT,226,47681,1883,Publish Message (id=17) [university/building2/section2/humidity],"{""unit"": ""C"", ""long"": 65, ""description"": ""Room Temperature"", ""lat"": 99, ""range"": [10, 49], ""type"": ""temperature""}"
828,222.1627917,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Ack (id=17),
829,222.1780088,127.0.0.1,127.0.0.1,MQTT,204,51249,1883,Publish Message (id=26) [factory/building2],"{""unit"": ""C"", ""long"": 64, ""description"": ""Room Temperature"", ""lat"": 90, ""range"": [0, 32], ""type"": ""temperature""}"
830,222.1781706,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Ack (id=26),
831,222.2297189,52.29.173.150,10.0.2.15,MQTT,188,1883,60609,Publish Message [hospital/room1],"{""unit"": ""K"", ""long"": 73, ""description"": ""Room Temperature"", ""lat"": 93, ""range"": [3, 41], ""type"": ""temperature""}"
832,222.2597378,127.0.0.1,127.0.0.1,MQTT,210,38975,1883,Publish Message (id=24) [university/room1/floor3],"{""unit"": ""C"", ""long"": 61, ""description"": ""Room Temperature"", ""lat"": 67, ""range"": [9, 49], ""type"": ""temperature""}"
833,222.2599427,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Ack (id=24),
834,222.2775688,10.0.2.15,91.121.93.94,MQTT,80,46495,1883,Publish Message [factory/department2],
835,222.2874178,3.65.137.17,10.0.2.15,MQTT,62,1883,41083,Publish Received (id=29),
836,222.8795435,10.0.2.15,91.121.93.94,MQTT,200,46495,1883,Publish Message [factory/building2/section2],"{""unit"": ""K"", ""long"": 84, ""description"": ""Room Temperature"", ""lat"": 69, ""range"": [3, 57], ""type"": ""temperature""}"
837,222.9488995,10.0.2.15,91.121.93.94,MQTT,193,56513,1883,Publish Message [factory/department2],"{""unit"": ""K"", ""long"": 47, ""description"": ""Room Temperature"", ""lat"": 76, ""range"": [10, 40], ""type"": ""temperature""}"
838,222.9927733,127.0.0.1,127.0.0.1,MQTT,215,57679,1883,Publish Message (id=26) [factory/department2/section2],"{""unit"": ""F"", ""long"": 67, ""description"": ""Room Temperature"", ""lat"": 78, ""range"": [9, 48], ""type"": ""temperature""}"
839,222.9932205,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Ack (id=26),
840,222.9933007,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=3),
841,223.1229914,127.0.0.1,127.0.0.1,MQTT,202,38975,1883,Publish Message (id=25) [metaverse/room1],"{""unit"": ""K"", ""long"": 55, ""description"": ""Room Temperature"", ""lat"": 94, ""range"": [9, 41], ""type"": ""temperature""}"
842,223.1236776,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=25),
843,223.2091176,10.0.2.15,91.121.93.94,MQTT,213,47383,1883,Publish Message (id=19) [metaverse/department2/room6/pollution],"{""unit"": ""C"", ""long"": 82, ""description"": ""Room Temperature"", ""lat"": 49, ""range"": [2, 59], ""type"": ""temperature""}"
844,223.2392443,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Received (id=19),
845,223.5051203,10.0.2.15,3.65.137.17,MQTT,198,41083,1883,Publish Message [university/room1/section2],"{""unit"": ""F"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 53, ""range"": [4, 37], ""type"": ""temperature""}"
846,223.6789947,10.0.2.15,52.29.173.150,MQTT,194,36665,1883,Publish Message [university/building2],"{""unit"": ""C"", ""long"": 49, ""description"": ""Room Temperature"", ""lat"": 85, ""range"": [6, 30], ""type"": ""temperature""}"
847,223.9225249,10.0.2.15,91.121.93.94,MQTT,205,47383,1883,Publish Message (id=20) [metaverse/room1/room6/deposit],"{""unit"": ""C"", ""long"": 41, ""description"": ""Room Temperature"", ""lat"": 68, ""range"": [4, 33], ""type"": ""temperature""}"
848,223.9340198,127.0.0.1,127.0.0.1,MQTT,204,51249,1883,Publish Message [metaverse/building2],"{""unit"": ""K"", ""long"": 91, ""description"": ""Room Temperature"", ""lat"": 61, ""range"": [2, 35], ""type"": ""temperature""}"
849,223.9508405,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Received (id=20),
850,223.9708486,127.0.0.1,127.0.0.1,MQTT,207,47681,1883,Publish Message [metaverse/department2],"{""unit"": ""C"", ""long"": 62, ""description"": ""Room Temperature"", ""lat"": 100, ""range"": [4, 44], ""type"": ""temperature""}"
851,223.988909,127.0.0.1,127.0.0.1,MQTT,94,38975,1883,Publish Message (id=26) [university/facility2],
852,223.9893129,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=26),
853,224.2109111,127.0.0.1,127.0.0.1,MQTT,204,57679,1883,Publish Message [metaverse/facility2],"{""unit"": ""F"", ""long"": 99, ""description"": ""Room Temperature"", ""lat"": 63, ""range"": [0, 31], ""type"": ""temperature""}"
854,224.2587961,10.0.2.15,91.121.93.94,MQTT,83,56513,1883,Publish Message (id=22) [metaverse/department2],
855,224.2881551,91.121.93.94,10.0.2.15,MQTT,62,1883,56513,Publish Ack (id=22),
856,224.2881855,91.121.93.94,10.0.2.15,MQTT,83,1883,35239,Publish Message (id=20) [metaverse/department2],
857,224.2884141,10.0.2.15,91.121.93.94,MQTT,60,35239,1883,Publish Ack (id=20),
858,224.4102335,10.0.2.15,52.29.173.150,MQTT,213,36665,1883,Publish Message (id=28) [factory/department2/room6/temperature],"{""unit"": ""F"", ""long"": 42, ""description"": ""Room Temperature"", ""lat"": 85, ""range"": [8, 50], ""type"": ""temperature""}"
859,224.4338845,52.29.173.150,10.0.2.15,MQTT,62,1883,36665,Publish Received (id=28),
860,224.6051878,127.0.0.1,127.0.0.1,MQTT,210,57679,1883,Publish Message [metaverse/facility2/room6],"{""unit"": ""F"", ""long"": 53, ""description"": ""Room Temperature"", ""lat"": 47, ""range"": [6, 51], ""type"": ""temperature""}"
861,224.6763837,10.0.2.15,91.121.93.94,MQTT,189,47383,1883,Publish Message [metaverse/room1],"{""unit"": ""C"", ""long"": 94, ""description"": ""Room Temperature"", ""lat"": 58, ""range"": [9, 41], ""type"": ""temperature""}"
862,224.7051258,91.121.93.94,10.0.2.15,MQTT,188,1883,35239,Publish Message [metaverse/room1],"{""unit"": ""C"", ""long"": 94, ""description"": ""Room Temperature"", ""lat"": 58, ""range"": [9, 41], ""type"": ""temperature""}"
863,224.8390391,10.0.2.15,91.121.93.94,MQTT,194,46495,1883,Publish Message [hospital/room1/area0],"{""unit"": ""C"", ""long"": 98, ""description"": ""Room Temperature"", ""lat"": 42, ""range"": [9, 34], ""type"": ""temperature""}"
864,224.8660051,91.121.93.94,10.0.2.15,MQTT,193,1883,43133,Publish Message [hospital/room1/area0],"{""unit"": ""C"", ""long"": 98, ""description"": ""Room Temperature"", ""lat"": 42, ""range"": [9, 34], ""type"": ""temperature""}"
865,225.0575761,127.0.0.1,127.0.0.1,MQTT,206,38975,1883,Publish Message (id=27) [factory/room1/area0],"{""unit"": ""C"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 85, ""range"": [8, 47], ""type"": ""temperature""}"
866,225.0577269,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=27),
867,225.3268846,127.0.0.1,127.0.0.1,MQTT,212,51249,1883,Publish Message [hospital/facility2/section2],"{""unit"": ""K"", ""long"": 86, ""description"": ""Room Temperature"", ""lat"": 41, ""range"": [1, 46], ""type"": ""temperature""}"
868,225.3435341,10.0.2.15,91.121.93.94,MQTT,202,47383,1883,Publish Message [metaverse/facility2/section2],"{""unit"": ""K"", ""long"": 90, ""description"": ""Room Temperature"", ""lat"": 55, ""range"": [8, 35], ""type"": ""temperature""}"
869,225.3709425,91.121.93.94,10.0.2.15,MQTT,201,1883,35239,Publish Message [metaverse/facility2/section2],"{""unit"": ""K"", ""long"": 90, ""description"": ""Room Temperature"", ""lat"": 55, ""range"": [8, 35], ""type"": ""temperature""}"
870,225.4813465,10.0.2.15,91.121.93.94,MQTT,200,56513,1883,Publish Message (id=23) [metaverse/facility2/room6],"{""unit"": ""K"", ""long"": 43, ""description"": ""Room Temperature"", ""lat"": 70, ""range"": [0, 51], ""type"": ""temperature""}"
871,225.5164458,91.121.93.94,10.0.2.15,MQTT,62,1883,56513,Publish Received (id=23),
872,225.7131735,10.0.2.15,91.121.93.94,MQTT,192,47383,1883,Publish Message (id=23) [university/room1],"{""unit"": ""C"", ""long"": 57, ""description"": ""Room Temperature"", ""lat"": 76, ""range"": [1, 35], ""type"": ""temperature""}"
873,225.7420841,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Received (id=23),
874,225.7914081,127.0.0.1,127.0.0.1,MQTT,207,47681,1883,Publish Message (id=19) [university/facility2],"{""unit"": ""K"", ""long"": 96, ""description"": ""Room Temperature"", ""lat"": 87, ""range"": [2, 40], ""type"": ""temperature""}"
875,225.7917668,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Ack (id=19),
876,225.7924237,10.0.2.15,52.29.173.150,MQTT,193,36665,1883,Publish Message (id=29) [factory/facility2],"{""unit"": ""F"", ""long"": 66, ""description"": ""Room Temperature"", ""lat"": 54, ""range"": [1, 38], ""type"": ""temperature""}"
877,225.8095384,52.29.173.150,10.0.2.15,MQTT,105,1883,36665,Disconnect Req,
878,225.9940363,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=5),
879,225.994104,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=9),
880,226.2377377,127.0.0.1,127.0.0.1,MQTT,226,47681,1883,Publish Message (id=20) [university/building2/floor3/temperature],"{""unit"": ""C"", ""long"": 72, ""description"": ""Room Temperature"", ""lat"": 43, ""range"": [6, 35], ""type"": ""temperature""}"
881,226.2380622,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Ack (id=20),
882,226.3034601,127.0.0.1,127.0.0.1,MQTT,206,57679,1883,Publish Message [metaverse/room1/room6],"{""unit"": ""C"", ""long"": 80, ""description"": ""Room Temperature"", ""lat"": 66, ""range"": [9, 31], ""type"": ""temperature""}"
883,226.4923625,127.0.0.1,127.0.0.1,MQTT,222,47681,1883,Publish Message (id=21) [hospital/department2/floor3/deposit],"{""unit"": ""C"", ""long"": 78, ""description"": ""Room Temperature"", ""lat"": 58, ""range"": [3, 42], ""type"": ""temperature""}"
884,226.4926295,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=21),
885,226.7260542,10.0.2.15,91.121.93.94,MQTT,98,56513,1883,Publish Message (id=24) [hospital/building2/room6/temperature],
886,226.7517869,91.121.93.94,10.0.2.15,MQTT,62,1883,56513,Publish Ack (id=24),
887,226.7865182,127.0.0.1,127.0.0.1,MQTT,221,51249,1883,Publish Message [metaverse/department2/floor3/deposit],"{""unit"": ""C"", ""long"": 96, ""description"": ""Room Temperature"", ""lat"": 50, ""range"": [8, 40], ""type"": ""temperature""}"
888,226.8269299,10.0.2.15,91.121.93.94,MQTT,205,46495,1883,Publish Message (id=20) [university/building2/section2],"{""unit"": ""C"", ""long"": 51, ""description"": ""Room Temperature"", ""lat"": 85, ""range"": [1, 34], ""type"": ""temperature""}"
889,226.8594163,91.121.93.94,10.0.2.15,MQTT,62,1883,46495,Publish Received (id=20),
890,226.8669011,127.0.0.1,127.0.0.1,MQTT,212,38975,1883,Publish Message (id=28) [hospital/facility2/floor3],"{""unit"": ""F"", ""long"": 45, ""description"": ""Room Temperature"", ""lat"": 91, ""range"": [0, 57], ""type"": ""temperature""}"
891,226.8670619,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Ack (id=28),
892,226.9682916,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=10),
893,226.9683191,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=2),
894,227.0660291,10.0.2.15,52.29.173.150,MQTT,210,36665,1883,Publish Message [university/department2/room6/deposit],"{""unit"": ""K"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 76, ""range"": [2, 43], ""type"": ""temperature""}"
895,227.2019992,10.0.2.15,91.121.93.94,MQTT,94,47383,1883,Publish Message (id=24) [factory/building2/area0/deposit],
896,227.2355216,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Ack (id=24),
897,227.2994702,127.0.0.1,127.0.0.1,MQTT,214,47681,1883,Publish Message (id=22) [metaverse/department2/room6],"{""unit"": ""K"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 42, ""range"": [2, 49], ""type"": ""temperature""}"
898,227.3000373,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=22),
899,227.7333401,10.0.2.15,52.29.173.150,MQTT,210,36665,1883,Publish Message [university/department2/floor3/light],"{""unit"": ""C"", ""long"": 50, ""description"": ""Room Temperature"", ""lat"": 55, ""range"": [10, 39], ""type"": ""temperature""}"
900,227.75499,10.0.2.15,91.121.93.94,MQTT,210,47383,1883,Publish Message [metaverse/building2/section2/deposit],"{""unit"": ""F"", ""long"": 79, ""description"": ""Room Temperature"", ""lat"": 41, ""range"": [9, 50], ""type"": ""temperature""}"
901,227.7822552,91.121.93.94,10.0.2.15,MQTT,209,1883,35239,Publish Message [metaverse/building2/section2/deposit],"{""unit"": ""F"", ""long"": 79, ""description"": ""Room Temperature"", ""lat"": 41, ""range"": [9, 50], ""type"": ""temperature""}"
902,227.7855013,10.0.2.15,91.121.93.94,MQTT,209,56513,1883,Publish Message [factory/department2/floor3/pollution],"{""unit"": ""K"", ""long"": 88, ""description"": ""Room Temperature"", ""lat"": 64, ""range"": [4, 57], ""type"": ""temperature""}"
903,227.9286882,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Received (id=12),
904,227.9287112,127.0.0.1,127.0.0.1,MQTT,72,1883,38975,Publish Received (id=11),
905,227.9725305,127.0.0.1,127.0.0.1,MQTT,212,51249,1883,Publish Message [hospital/department2/floor3],"{""unit"": ""F"", ""long"": 50, ""description"": ""Room Temperature"", ""lat"": 73, ""range"": [4, 40], ""type"": ""temperature""}"
906,228.0904863,127.0.0.1,127.0.0.1,MQTT,206,57679,1883,Publish Message (id=30) [factory/room1/room6],"{""unit"": ""F"", ""long"": 99, ""description"": ""Room Temperature"", ""lat"": 88, ""range"": [4, 40], ""type"": ""temperature""}"
907,228.0906025,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Ack (id=30),
908,228.2779458,10.0.2.15,91.121.93.94,MQTT,98,46495,1883,Publish Message [university/facility2/section2/deposit],
909,228.3049229,91.121.93.94,10.0.2.15,MQTT,97,1883,35239,Publish Message [university/facility2/section2/deposit],
910,228.3049637,91.121.93.94,10.0.2.15,MQTT,97,1883,43133,Publish Message [university/facility2/section2/deposit],
911,228.8988601,10.0.2.15,91.121.93.94,MQTT,196,47383,1883,Publish Message (id=26) [university/facility2],"{""unit"": ""C"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 94, ""range"": [5, 49], ""type"": ""temperature""}"
912,228.8993051,127.0.0.1,127.0.0.1,MQTT,91,51249,1883,Publish Message [metaverse/building2],
913,228.8999692,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=8),
914,228.9190204,127.0.0.1,127.0.0.1,MQTT,87,47681,1883,Publish Message [metaverse/room1],
915,228.9324922,91.121.93.94,10.0.2.15,MQTT,195,1883,35239,Publish Message (id=21) [university/facility2],"{""unit"": ""C"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 94, ""range"": [5, 49], ""type"": ""temperature""}"
916,228.9325495,91.121.93.94,10.0.2.15,MQTT,193,1883,43133,Publish Message [university/facility2],"{""unit"": ""C"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 94, ""range"": [5, 49], ""type"": ""temperature""}"
917,228.932993,10.0.2.15,91.121.93.94,MQTT,60,35239,1883,Publish Ack (id=21),
918,228.9358024,91.121.93.94,10.0.2.15,MQTT,195,1883,35239,Publish Message (id=22) [university/facility2],"{""unit"": ""C"", ""long"": 48, ""description"": ""Room Temperature"", ""lat"": 94, ""range"": [5, 49], ""type"": ""temperature""}"
919,228.9360846,10.0.2.15,91.121.93.94,MQTT,60,35239,1883,Publish Ack (id=22),
920,228.9362461,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Ack (id=26),
921,228.9666997,10.0.2.15,91.121.93.94,MQTT,201,56513,1883,Publish Message (id=26) [factory/department2/floor3],"{""unit"": ""C"", ""long"": 50, ""description"": ""Room Temperature"", ""lat"": 88, ""range"": [1, 32], ""type"": ""temperature""}"
922,229.0000271,91.121.93.94,10.0.2.15,MQTT,62,1883,56513,Publish Received (id=26),
923,229.0305237,127.0.0.1,127.0.0.1,MQTT,216,51249,1883,Publish Message [factory/department2/area0/light],"{""unit"": ""C"", ""long"": 85, ""description"": ""Room Temperature"", ""lat"": 90, ""range"": [6, 55], ""type"": ""temperature""}"
924,229.1246908,10.0.2.15,91.121.93.94,MQTT,194,47383,1883,Publish Message (id=27) [hospital/building2],"{""unit"": ""K"", ""long"": 45, ""description"": ""Room Temperature"", ""lat"": 68, ""range"": [7, 34], ""type"": ""temperature""}"
925,229.1524342,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Received (id=27),
926,229.3531728,10.0.2.15,91.121.93.94,MQTT,194,46495,1883,Publish Message (id=22) [hospital/facility2],"{""unit"": ""F"", ""long"": 73, ""description"": ""Room Temperature"", ""lat"": 71, ""range"": [9, 55], ""type"": ""temperature""}"
927,229.3580699,127.0.0.1,127.0.0.1,MQTT,93,51249,1883,Publish Message (id=33) [factory/room1/room6],
928,229.3582196,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Ack (id=33),
929,229.3860079,91.121.93.94,10.0.2.15,MQTT,62,1883,46495,Publish Ack (id=22),
930,229.5001466,10.0.2.15,52.29.173.150,MQTT,58,57265,1883,Ping Request,
931,229.5154524,52.29.173.150,10.0.2.15,MQTT,62,1883,57265,Ping Response,
932,229.5906578,10.0.2.15,91.121.93.94,MQTT,200,46495,1883,Publish Message (id=23) [hospital/building2/room6],"{""unit"": ""K"", ""long"": 54, ""description"": ""Room Temperature"", ""lat"": 44, ""range"": [3, 34], ""type"": ""temperature""}"
933,229.6190184,91.121.93.94,10.0.2.15,MQTT,62,1883,46495,Publish Ack (id=23),
934,229.6860871,10.0.2.15,52.29.173.150,MQTT,58,55677,1883,Ping Request,
935,229.6923714,127.0.0.1,127.0.0.1,MQTT,227,57679,1883,Publish Message (id=31) [factory/department2/section2/temperature],"{""unit"": ""F"", ""long"": 67, ""description"": ""Room Temperature"", ""lat"": 43, ""range"": [9, 58], ""type"": ""temperature""}"
936,229.6925313,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Ack (id=31),
937,229.7028458,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Ping Response,
938,229.72233,127.0.0.1,127.0.0.1,MQTT,225,57679,1883,Publish Message [university/room1/floor3/hydraulic_valve],"{""unit"": ""K"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 59, ""range"": [10, 59], ""type"": ""temperature""}"
939,229.9265407,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=5),
940,229.9265619,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=6),
941,230.0854596,10.0.2.15,91.121.93.94,MQTT,86,56513,1883,Publish Message [university/facility2/area0],
942,230.1123188,91.121.93.94,10.0.2.15,MQTT,86,1883,35239,Publish Message [university/facility2/area0],
943,230.1123481,91.121.93.94,10.0.2.15,MQTT,86,1883,43133,Publish Message [university/facility2/area0],
944,230.2481612,127.0.0.1,127.0.0.1,MQTT,213,47681,1883,Publish Message (id=24) [hospital/department2/room6],"{""unit"": ""C"", ""long"": 82, ""description"": ""Room Temperature"", ""lat"": 98, ""range"": [7, 56], ""type"": ""temperature""}"
945,230.2485071,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Received (id=24),
946,230.4360677,10.0.2.15,91.121.93.94,MQTT,215,47383,1883,Publish Message (id=28) [university/department2/section2/deposit],"{""unit"": ""F"", ""long"": 76, ""description"": ""Room Temperature"", ""lat"": 81, ""range"": [1, 43], ""type"": ""temperature""}"
947,230.4719602,127.0.0.1,127.0.0.1,MQTT,230,51249,1883,Publish Message (id=34) [hospital/department2/floor3/hydraulic_valve],"{""unit"": ""K"", ""long"": 98, ""description"": ""Room Temperature"", ""lat"": 47, ""range"": [4, 30], ""type"": ""temperature""}"
948,230.472265,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Publish Received (id=28),
949,230.4723163,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=34),
950,230.8641547,127.0.0.1,127.0.0.1,MQTT,214,57679,1883,Publish Message (id=33) [hospital/department2/floor3],"{""unit"": ""C"", ""long"": 67, ""description"": ""Room Temperature"", ""lat"": 57, ""range"": [3, 59], ""type"": ""temperature""}"
951,230.8643072,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Ack (id=33),
952,230.9686026,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=11),
953,230.9693331,127.0.0.1,127.0.0.1,MQTT,201,51249,1883,Publish Message [university/room1],"{""unit"": ""C"", ""long"": 75, ""description"": ""Room Temperature"", ""lat"": 62, ""range"": [0, 33], ""type"": ""temperature""}"
954,231.1050379,10.0.2.15,91.121.93.94,MQTT,203,46495,1883,Publish Message (id=24) [metaverse/department2/area0],"{""unit"": ""C"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 82, ""range"": [6, 31], ""type"": ""temperature""}"
955,231.1400336,91.121.93.94,10.0.2.15,MQTT,202,1883,35239,Publish Message (id=23) [metaverse/department2/area0],"{""unit"": ""C"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 82, ""range"": [6, 31], ""type"": ""temperature""}"
956,231.1404635,91.121.93.94,10.0.2.15,MQTT,62,1883,46495,Publish Ack (id=24),
957,231.1409793,10.0.2.15,91.121.93.94,MQTT,60,35239,1883,Publish Ack (id=23),
958,231.5460334,10.0.2.15,91.121.93.94,MQTT,212,46495,1883,Publish Message (id=25) [university/building2/room6/pollution],"{""unit"": ""C"", ""long"": 45, ""description"": ""Room Temperature"", ""lat"": 64, ""range"": [4, 52], ""type"": ""temperature""}"
959,231.5716275,91.121.93.94,10.0.2.15,MQTT,62,1883,46495,Publish Received (id=25),
960,231.7213699,127.0.0.1,127.0.0.1,MQTT,218,57679,1883,Publish Message (id=34) [hospital/facility2/floor3/light],"{""unit"": ""K"", ""long"": 47, ""description"": ""Room Temperature"", ""lat"": 40, ""range"": [4, 51], ""type"": ""temperature""}"
961,231.7215436,127.0.0.1,127.0.0.1,MQTT,72,1883,57679,Publish Received (id=34),
962,231.7906466,10.0.2.15,91.121.93.94,MQTT,197,56513,1883,Publish Message (id=28) [university/room1/area0],"{""unit"": ""C"", ""long"": 76, ""description"": ""Room Temperature"", ""lat"": 64, ""range"": [1, 38], ""type"": ""temperature""}"
963,231.8165467,91.121.93.94,10.0.2.15,MQTT,197,1883,35239,Publish Message (id=24) [university/room1/area0],"{""unit"": ""C"", ""long"": 76, ""description"": ""Room Temperature"", ""lat"": 64, ""range"": [1, 38], ""type"": ""temperature""}"
964,231.8169169,91.121.93.94,10.0.2.15,MQTT,195,1883,43133,Publish Message [university/room1/area0],"{""unit"": ""C"", ""long"": 76, ""description"": ""Room Temperature"", ""lat"": 64, ""range"": [1, 38], ""type"": ""temperature""}"
965,231.8170048,10.0.2.15,91.121.93.94,MQTT,60,35239,1883,Publish Ack (id=24),
966,231.8273515,91.121.93.94,10.0.2.15,MQTT,62,1883,56513,Publish Ack (id=28),
967,232.0551733,127.0.0.1,127.0.0.1,MQTT,109,47681,1883,Publish Message (id=25) [university/facility2/floor3/deposit],
968,232.0553343,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Ack (id=25),
969,232.2697461,10.0.2.15,91.121.93.94,MQTT,197,47383,1883,Publish Message (id=29) [metaverse/room1/room6],"{""unit"": ""C"", ""long"": 97, ""description"": ""Room Temperature"", ""lat"": 89, ""range"": [5, 52], ""type"": ""temperature""}"
970,232.2968748,91.121.93.94,10.0.2.15,MQTT,62,1883,47383,Disconnect Req,
971,232.5270349,10.0.2.15,3.65.137.17,MQTT,208,41083,1883,Publish Message [metaverse/facility2/room6/pollution],"{""unit"": ""K"", ""long"": 67, ""description"": ""Room Temperature"", ""lat"": 40, ""range"": [5, 49], ""type"": ""temperature""}"
972,232.5824902,127.0.0.1,127.0.0.1,MQTT,206,57679,1883,Publish Message [hospital/room1/floor3],"{""unit"": ""K"", ""long"": 43, ""description"": ""Room Temperature"", ""lat"": 47, ""range"": [0, 30], ""type"": ""temperature""}"
973,232.6349282,10.0.2.15,91.121.93.94,MQTT,199,46495,1883,Publish Message [metaverse/facility2/area0],"{""unit"": ""K"", ""long"": 79, ""description"": ""Room Temperature"", ""lat"": 87, ""range"": [3, 38], ""type"": ""temperature""}"
974,232.6674816,91.121.93.94,10.0.2.15,MQTT,198,1883,35239,Publish Message [metaverse/facility2/area0],"{""unit"": ""K"", ""long"": 79, ""description"": ""Room Temperature"", ""lat"": 87, ""range"": [3, 38], ""type"": ""temperature""}"
975,232.9081912,127.0.0.1,127.0.0.1,MQTT,213,51249,1883,Publish Message (id=36) [metaverse/facility2/floor3],"{""unit"": ""C"", ""long"": 61, ""description"": ""Room Temperature"", ""lat"": 60, ""range"": [5, 32], ""type"": ""temperature""}"
976,232.9084652,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Ack (id=36),
977,232.9514854,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=13),
978,233.4208927,10.0.2.15,91.121.93.94,MQTT,202,56513,1883,Publish Message [factory/facility2/area0/light],"{""unit"": ""C"", ""long"": 58, ""description"": ""Room Temperature"", ""lat"": 43, ""range"": [1, 53], ""type"": ""temperature""}"
979,233.5823277,127.0.0.1,127.0.0.1,MQTT,229,47681,1883,Publish Message (id=26) [metaverse/facility2/floor3/hydraulic_valve],"{""unit"": ""K"", ""long"": 54, ""description"": ""Room Temperature"", ""lat"": 91, ""range"": [8, 45], ""type"": ""temperature""}"
980,233.5824631,127.0.0.1,127.0.0.1,MQTT,72,1883,47681,Publish Ack (id=26),
981,233.9865235,127.0.0.1,127.0.0.1,MQTT,72,1883,51249,Publish Received (id=14),
982,234.0665345,127.0.0.1,127.0.0.1,MQTT,210,57679,1883,Publish Message [factory/department2/room6],"{""unit"": ""C"", ""long"": 81, ""description"": ""Room Temperature"", ""lat"": 71, ""range"": [8, 51], ""type"": ""temperature""}"
983,234.1499182,10.0.2.15,91.121.93.94,MQTT,99,46495,1883,Publish Message (id=27) [hospital/facility2/section2/humidity],
